sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,deferred_stock_update,use_config_deferred_stock_update,related_skus,crosssell_skus,upsell_skus,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,associated_skus
1Fl,,Default,simple,"Default Category, Floor Tiles/Vinyl",base,Grasmere Rigid Core Luxury Vinyl Tile,"These luxury vinyl tiles, known as SPC (Stone Polymer Composite) are comprised of a rigid core for added durability. 

Mimicking an old oak floor, the dark stained floor board effect works well in heritage properties or those looking to recreate the glamour of the Georgian era in a modern property.

Easy installation click system, no glue required
Hygienic finish, easy to clean and maintain
Install directly over most existing hard surface subfloors
Can be used in conjunction with water radiant systems providing it remains below 24°C
100% waterproof
Integral underlay
Wear layer of 0.3mm
Scuff and stain resistant
Rigid core for easy installation
Suitable for all rooms excluding conservatories
","Coverage Per Box:   2.2m²
Tiles Per Box:           10
Product Colour:        Grey
Tile Surface:              Floor
Tile Size:                    123cm x 17.9cm Plank
Tile Depth (cm):        0.6
Weight (kg):               19.5
Surface:                      Interior Floor",,1,Taxable Goods,"Catalog, Search",10,,,,Grasmere-Rigid-Vinyl-Tile,Grasmere Rigid Core Luxury Vinyl Floor Tile,Grasmere Rigid / Grasmere Vinyl/ Grasmere Floor Tiles,"These luxury vinyl tiles, known as SPC (Stone Polymer Composite), mimicing an old oak floor, the dark stained floor board effect, recreate the glamour of the Georgian, suitable for all rooms excluding conservatories",,,,,,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",200,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
2Fl,,Default,simple,"Default Category, Floor Tiles/Vinyl",base,Ashdown Rigid Core Luxury Vinyl Tile,"These luxury vinyl tiles, known as SPC (Stone Polymer Composite) are comprised of a rigid core for added durability. 

Mimicking an old oak floor, the dark stained floor board effect works well in heritage properties or those looking to recreate the glamour of the Georgian era in a modern property.

Easy installation click system, no glue required
Hygienic finish, easy to clean and maintain
Install directly over most existing hard surface subfloors
Can be used in conjunction with water radiant systems providing it remains below 24°C
100% waterproof
Integral underlay
Wear layer of 0.3mm
Scuff and stain resistant
Rigid core for easy installation
Suitable for all rooms excluding conservatories
","Coverage Per Box:   2.2m²
Tiles Per Box:           10
Product Colour:        Grey
Tile Surface:              Floor
Tile Size:                    123cm x 17.9cm Plank
Tile Depth (cm):        0.6
Weight (kg):               19.5
Surface:                      Interior Floor",,1,Taxable Goods,"Catalog, Search",10,,,,Ashdown-Rigid-Core-Luxury-Vinyl-Tile,Ashdown Rigid Core Luxury Vinyl Tile,Ashdown Rigid / Ashdown Vinyl/ Ashdown Floor Tiles,"These luxury vinyl tiles, known as SPC (Stone Polymer Composite), mimicing an old oak floor, the dark stained floor board effect, recreate the glamour of the Georgian, suitable for all rooms excluding conservatories",,,,,,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=1",200,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
3Fl,,Default,simple,"Default Category, Floor Tiles/Vinyl",base,Kielder Rigid Core Luxury Vinyl Tile,"These luxury vinyl tiles, known as SPC (Stone Polymer Composite) are comprised of a rigid core for added durability. 

Mimicking an old oak floor, the dark stained floor board effect works well in heritage properties or those looking to recreate the glamour of the Georgian era in a modern property.

Easy installation click system, no glue required
Hygienic finish, easy to clean and maintain
Install directly over most existing hard surface subfloors
Can be used in conjunction with water radiant systems providing it remains below 24°C
100% waterproof
Integral underlay
Wear layer of 0.3mm
Scuff and stain resistant
Rigid core for easy installation
Suitable for all rooms excluding conservatories
","Coverage Per Box:   2.2m²
Tiles Per Box:           10
Product Colour:        Brown
Tile Surface:              Floor
Tile Size:                    123cm x 17.9cm Plank
Tile Depth (cm):        0.6
Weight (kg):               19.5
Surface:                      Interior Floor",,1,Taxable Goods,"Catalog, Search",13,,,,Kielder-Rigid-Vinyl-Tile,Kielder Rigid Core Luxury Vinyl Tile,Kielder Rigid / Kielder  Vinyl/ Kielder  Floor Tiles,"These luxury vinyl tiles, known as SPC (Stone Polymer Composite), mimicing an old oak floor, the dark stained floor board effect, recreate the glamour of the Georgian, suitable for all rooms excluding conservatories",,,,,,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=2",200,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
4Fl,,Default,simple,"Default Category, Floor Tiles/Vinyl",base,Parson Rigid Core Luxury Vinyl Tile,"These luxury vinyl tiles, known as SPC (Stone Polymer Composite) are comprised of a rigid core for added durability. 

Mimicking an old oak floor, the dark stained floor board effect works well in heritage properties or those looking to recreate the glamour of the Georgian era in a modern property.

Easy installation click system, no glue required
Hygienic finish, easy to clean and maintain
Install directly over most existing hard surface subfloors
Can be used in conjunction with water radiant systems providing it remains below 24°C
100% waterproof
Integral underlay
Wear layer of 0.3mm
Scuff and stain resistant
Rigid core for easy installation
Suitable for all rooms excluding conservatories
","Coverage Per Box:   2.2m²
Tiles Per Box:           10
Product Colour:        Cream
Tile Surface:              Floor
Tile Size:                    123cm x 17.9cm Plank
Tile Depth (cm):        0.6
Weight (kg):               19.5
Surface:                      Interior Floor",,1,Taxable Goods,"Catalog, Search",13,,,,Parson-Rigid-Vinyl-Tile,Parson Rigid Core Luxury Vinyl Tile,Parson Rigid / Parson  Vinyl/ ParsonFloor Tiles,"These luxury vinyl tiles, known as SPC (Stone Polymer Composite), mimicing an old oak floor, the dark stained floor board effect, recreate the glamour of the Georgian, suitable for all rooms excluding conservatories",,,,,,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=3",200,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
5Fl,,Default,simple,"Default Category,Floor Tiles /Ceramic",base,Henley™ Ice Tile,"Inspired by Victorian encaustic design. It's made from ceramic with a matt finish. The pre scored grout lines are made to look like grout joints, creating the appearance of four tiles rather than one large one. Occasionally, a very faint micro line may appear on the surface: this is simply a characteristic of the digital printing technology used and won't compromise the final effect. 

Embodying all things pattern, the Statements™ range brings together different design eras into a format reminiscent of traditional encaustic tiles. The pre-scored lines make these tiles easier to lay but also give the look of four smaller tiles once grouted.","Product Colour:          Blue, Patterned, Multicoloured
Tile Surface:                Floor, Wall
Tile Size:                      45cm x 45cm Square
Tile Depth (cm):          1.05
Weight (kg):                 4",,1,Taxable Goods,"Catalog, Search",9,,,,Henley-Ice-Tile,Henley™ Ice Tile,Henlen Tile / Henley Ice/ Henley Ice Ceramic/ Henley Ice Floor Tiles,Inspired by Victorian encaustic design. It's made from ceramic with a matt finish. The statement range brings together different design eras into a format reminiscent of traditional encaustic tiles.,,,,,,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=4",250,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
6Fl,,Default,simple,"Default Category,Floor Tiles /Ceramic",base,Henley™ Warm Tile,"Inspired by Victorian encaustic design. It's made from ceramic with a matt finish. The pre scored grout lines are made to look like grout joints, creating the appearance of four tiles rather than one large one. Occasionally, a very faint micro line may appear on the surface: this is simply a characteristic of the digital printing technology used and won't compromise the final effect. 

Embodying all things pattern, the Statements™ range brings together different design eras into a format reminiscent of traditional encaustic tiles. The pre-scored lines make these tiles easier to lay but also give the look of four smaller tiles once grouted.","Product Colour:          Orange, Patterned, Multicoloured
Tile Surface:                Floor, Wall
Tile Size:                      45cm x 45cm Square
Tile Depth (cm):          0.9
Weight (kg):                 3.996",,1,Taxable Goods,"Catalog, Search",9,,,,Henley-Warm-Tile,Henley™ Warm Tile,Henlen Tile / Henley Warm/ Henley Warm Ceramic/ Henley Warm Floor Tiles,Inspired by Victorian encaustic design. It's made from ceramic with a matt finish. The statement range brings together different design eras into a format reminiscent of traditional encaustic tiles.,,,,,,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=5",250,0,1,0,0,1,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
7Fl,,Default,simple,"Default Category,Floor Tiles /Ceramic",base,Brixton Tile,"This dramatic monochrome tile creates instant impact with bold geometric diamonds. Soften the graphic lines with textured furnishings, painted wood and accessories.

Embodying all things pattern, the Statements™ range brings together different design eras into a format reminiscent of traditional encaustic tiles. The pre-scored lines make these tiles easier to lay but also give the look of four smaller tiles once grouted.","Product Colour:          Black, Multicoloured, White, Patterned
Tile Surface:                Floor, Wall
Tile Size:                      45cm x 45cm Square
Tile Depth (cm):          1.05
Weight (kg):                 4",,1,Taxable Goods,"Catalog, Search",14,,,,Brixton-Tile,Brixton Tile,Brixton Tile /Brixton Ceramic/ Brixton Floor Tiles,"This dramatic monochrome tile creates instant impact with bold geometric diamonds. Soften the graphic lines with textured furnishings, painted wood and accessories. ",,,,,,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=6",300,0,1,0,,,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
8Fl,,Default,simple,"Default Category, Floor Tiles/Porcelain",base,Calacatta Matt White Marble Effect Porcelain Tile,"Luxury tiles offers an inspiration from the famous marbles found in the Carrara region of Tuscany, Italy, this Matt version of the Calacatta porcelain tile has an alternative to the high gloss variety. The smooth silk matt surface adds a softness to the finish but does not detract from that classical timeless appearance. Ideal for large and smaller floors alike, the lighter shades create areas of roomy spaciousness ideal for both contemporary and classical interiors. Ideal for use in any room of the home, this hard wearing porcelain tile is fantastic in kitchens, hallways, bathrooms and conservatories. A very popular design to use when tiling entire floors in the home as the subtle tones offer of interior design options. Suitable with underfloor heating.","Height:                                    	800
Width:             	                        800
Tiles Per Box:                                2
Colour:           	                        White
Thickness (mm): 	                        11.0
Tiles per square meter	        1.56",,1,Taxable Goods,"Catalog, Search",8,,,,CMatt-Marble-Porcelain-Tile,Calacatta Matt White Marble Effect Porcelain Tile,Calacatta Matt/ Calacatta Matt White Marble /Calacatta Matt Porcelain/ Calacatta Matt Floor Tiles,"An inspiration from the famous marbles found in the Carrara region of Tuscany, Italy, this Matt version of the Calacatta porcelain tile has an alternative to the high gloss variety. The smooth silk matt surface adds a softness.",,,,,,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=7",300,0,1,0,,,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
9Fl,,Default,simple,"Default Category, Floor Tiles/Porcelain/Hartley",base,Hartley™ Old Red Tile,"Resembling brickwork from Tribeca, Manhattan, the Hartley™ tile lends your space a stylish industrial look that's infused with a sense of luxurious modern living. The name is inspired by the former Hartley jam factory in South East London, now an upscale residential complex. A versatile choice, these matt rectangular porcelain tiles can be used inside and outside, on floors as well as walls.","Product Colour:          Red
Tile Surface:                Floor, Wall
Tile Size:                      25cm x 6cm Rectangular
Tile Depth (cm):          1
Weight (kg):                 0.314",,1,Taxable Goods,"Catalog, Search",9,,,,Hartley-Old-Red-Tile,Hartley™ Old Red Tile,Hartley Old Red/ Hartley Porcelain/ Hartley Floor Tiles," Manhattan, the Hartley tile lends your space a stylish industrial look that's infused with a sense of luxurious modern living. ",,,,,,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=8",300,0,1,0,,,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
10Fl,,Default,simple,"Default Category, Floor Tiles/Porcelain/Hartley",base,Tekno™ Bone Tile,"In a muted shade, the concrete look of the rectangular Tekno™ bone tile evokes the aesthetic of NYC skyscrapers. The city's skyline has continued to rise since the 1850s, when mass manufactured steel was combined with concrete to create New York's urban architecture. With their industrial appearance and restful light cream colour, these rectangular matt tiles will add a subtle take on a metropolitan look into your home. The range includes tonal variations, so no two pieces are alike. Please note that these tiles shouldn't be placed in wet rooms.","Product Colour:          Cream
Tile Surface:                Floor, Wall
Tile Size:                      60cm x 30cm Rectangular
Tile Depth (cm):          0.8
Weight (kg):                 3.42",,1,Taxable Goods,"Catalog, Search",9,,,,Tekno-Bone-Tile,Tekno™ Bone Tile,Tekno Bone / Tekno Porcelain/ Tekno Floor Tiles,The concrete look of the rectangular Tekno bone tile evokes the aesthetic of NYC skyscrapers. With their industrial appearance and restful light cream colour will add a subtle take on a metropolitan look into your home.,,,,,,,,,,,,,,,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=9",300,0,1,0,,,1,0,0,1,1,,1,0,1,1,0,1,0,0,1,0,1,,,,,,,,,,,
